Requirement Name,Found in Document,Doc ID,Requirement Section,Requirement Text,Supported by (Activity),Act ID,Grounded By (Requirement),Is Grounding (Requirement),Req ID (is grounding),Applies to (Asset Class),Class ID,Reg Fully Grounded,Req ID,TO REMOVE: Document Name,Class Attributes Note,TO REMOVE 🕝Frequency,TO REMOVE Performed By (Trade),TO REMOVE - URL,Work Comments,Name Text,📕 Source Document
"CSA-Z94.4-18, Section: 11.5.5.2",,,11.5.5.2,"11.5.5.2 Prior to using a SCBA cylinder that has not been used in any 12-month period, the air shall be discarded by slowly depressurizing the cylinder to the atmosphere and refilling it with compressed breathing air meeting the requirements of CSA Z180.1.",https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-Unused-Cylinder-45833118aa0e413d98f182a26495a8ae,45833118aa0e413d98f182a26495a8ae,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,9fd4cc30a9cd437a9812c31825a99c6b,CSA-Z94.4-18,,Annually,"Assignment Uncertain, Assignment Verifed, Contractor, See Note",https://www.csagroup.org/store/product/CAN%25100CSA-Z94.4-18/,"SC: Once again, this is for reference to the contractor, if we are inspection SCBA annually and refilling after use we will meet this requirement","CSA-Z94.4-18, Section: 11.5.5.2",
"CSA-Z94.4-18, Section: 11.3.3.1.3",,,11.3.3.1.3,"11.3.3.1.3 Steel and aluminum cylinders over 15 years old shall have the interior of the cylinder inspected at least annually by a qualified person when these cylinders are in current use. Note: This Clouse does not extend the service life of cylinders

",https://www.notion.so/Self-contained-Breathing-Apparatus-SCBA-Cylinder-Interior-Inspection-6f9c7b50aaea40b18f1a6dd74a8e1a74,6f9c7b50aaea40b18f1a6dd74a8e1a74,,,,https://www.notion.so/self-contained-breathing-apparatus-SCBA-f705efefb80041cebfd4dbaddcbfc261,f705efefb80041cebfd4dbaddcbfc261,,85a7e6ab088e4a33ba4aefda0cb7a592,CSA-Z94.4-18,,Annually,Contractor,https://www.csagroup.org/store/product/CAN%25100CSA-Z94.4-18/,,"CSA-Z94.4-18, Section: 11.3.3.1.3",
"Ontario Regulation 224, Section: SPILL PREVENTION AND CONTINGENCY PLANS",,,SPILL PREVENTION AND CONTINGENCY PLANS,"Inspect and ensure spill kit is sealed. If seal is broken, verify contents, replenish and re-seal.",https://www.notion.so/Spill-Kit-Inspection-For-Safe-Usage-Condition-7c8506b0636e4b9695f7d40afa6f98ef,7c8506b0636e4b9695f7d40afa6f98ef,,,,https://www.notion.so/spill-kit-7b850b3ad84240f6bc14fd25362b2404,7b850b3ad84240f6bc14fd25362b2404,No,288abb434fc6437096f5c0327a7a79c5,Ontario Regulation 224,,,Staff,,"Requirement text not found in the sited source(s).
#SourceUnknown
Need to list the Items to be present in the kit. 
SC:Aug 25:  Refer to the inventory list provided by the manufacturer. 
- Upladate in WMS upon replenishing the inventory. ","Ontario Regulation 224, Section: SPILL PREVENTION AND CONTINGENCY PLANS",
"CSA B149.6-20, Section: 13.6",,,13.6,"13.6 Valve maintenance
Valves that are necessary for the safe operation of the digester gas system shall be checked and serviced, including lubrication when necessary, at intervals sufficiently frequent to ensure their satisfactory operation. The frequency of such checking and servicing shall be Identified in the written instructions specified in Clause 13.1.2",https://www.notion.so/Gaseous-Fuel-Handling-Valves-7fde951badb44063af40a7332d83a24b,7fde951badb44063af40a7332d83a24b,,,,,,,0fc312ebc7ea4d5c91e802e5c48437dc,CSA B149.6-20,,,"Assignment Uncertain, Assignment Verifed, Staff",https://www.csagroup.org/store/product/CSA%25100ANSI%20B149.6%3A20/,"#CannotAccessMissingDetail
Many different activities needs to be performed for various valves. There are 27 different activities that is to be performed on valves in the DIG-PM. 
#Discuss
July 29 AJ: TH to make modification to the classification and add in some attributes.","CSA B149.6-20, Section: 13.6",
"CSA B149.6-20, Section: 13.1.2",,,13.1.2,,https://www.notion.so/Gaseous-Fuel-Handling-Valve-Inspection-Frequency-af916491155e4ba2b475eae4c7680492,af916491155e4ba2b475eae4c7680492,,,,,,,fab2ca10940041ed8381640d749afb92,CSA B149.6-20,,,Contractor,https://www.csagroup.org/store/product/CSA%25100ANSI%20B149.6%3A20/,#CannotAccessMissingDetail,"CSA B149.6-20, Section: 13.1.2",
"AMSE B30.9-2018, Section: 9-5.9.5",,,9-5.9.5,"Web sling should be removed from service and be discarded if the following conditions are found:

- Missing or illegible sling identification
- Acid or caustic burns
- Melting or charring of any part of the sling
- Holes, tears, cuts, or snags
- Broken or worn stitching in load-bearing splices
- Excessive wear or abrasion
- Knots in any part of the sling
- Discoloration and brittle or stiff areas on any part of the sling, which may indicate chemical or UV damage
- Fittings that are pitted, corroded, cracked, bent, twisted, gouged, or broken
- For hooks, removal criteria as stated in ASME B30.10
- For rigging hardware, removal criteria as stated in ASME B30.26
- Other conditions, including visible damage, that cause doubt to the continued use of the sling ",https://www.notion.so/Web-Sling-Inspection-For-Safe-Usage-e3ce8e366b0f48c7ac99ebd0eba55e13,e3ce8e366b0f48c7ac99ebd0eba55e13,,,,https://www.notion.so/web-sling-18eee6561af54394a626fe98b74b1d6e,18eee6561af54394a626fe98b74b1d6e,,154709a8cf0848ae8c16a19844f9424b,AMSE B30.9-2018,,Annually,Contractor,https://www.asme.org/codes-standards/find-codes-standards/b30-9-slings,"#CannotAccess, #ToPurchase","AMSE B30.9-2018, Section: 9-5.9.5",
"ASME B30.10, Section: ",,,,,https://www.notion.so/Web-Sling-Inspection-be371e93d64d4e5c8426e073f4f71d08,be371e93d64d4e5c8426e073f4f71d08,,,,https://www.notion.so/web-sling-18eee6561af54394a626fe98b74b1d6e,18eee6561af54394a626fe98b74b1d6e,,69f40561c3fc43628e146cb6e02c786c,ASME B30.10,,,"Assignment Uncertain, Assignment Verifed, Contractor, See Note",https://www.asme.org/codes-standards/find-codes-standards/b30-10-hooks,"#CannotAccessMissingDetail
SC: Not sure I added this?
Aj July 27: It has been added by myself , as these are referred in the requirement. 
Since the source requirement is to be performed by the contractor, these referenced requirements are to be performed by the contractors as well. ","ASME B30.10, Section: ",
"ASME B30.26, Section: ",,,,,https://www.notion.so/Web-Sling-Inspection-be371e93d64d4e5c8426e073f4f71d08,be371e93d64d4e5c8426e073f4f71d08,,,,https://www.notion.so/web-sling-18eee6561af54394a626fe98b74b1d6e,18eee6561af54394a626fe98b74b1d6e,,e312fa1e5c334fb18975a1c3c2d8f608,ASME B30.26,,,"Assignment Uncertain, Assignment Verifed, Contractor, See Note",https://www.asme.org/codes-standards/find-codes-standards/b30-26-rigging-hardware,"#CannotAccessMissingDetail
SC: Not sure I added this?
Aj July 27: It has been added by myself , as these are referred in the requirement. 
Since the source requirement is to be performed by the contractor, these referenced requirements are to be performed by the contractors as well. ","ASME B30.26, Section: ",
"ASME B30.9-2018, Section: 9-3.9.5",,,9-3.9.5,"Wire Mesh Sling
a) Missing or illegible sling identification
b) Broken weld or a broken brazed joint along the sling edge
c) Broken wire in any part of the mesh
d) Reduction in wire diameter of 25% due to abrasion or 15% due to corrosion
e) Lack of flexibility due to distortion of the mesh
f) Distortion of the choker fitting so the depth of the slot is increased by more than 10%
g) Distortion of either end fitting so the width of the eye-opening is decreased by more than 10%
h) 15% reduction of the original cross-sectional area of any point around the hook opening of the end fitting
i) Visible distortion of either end fitting out if its plane
j) Cracked end fitting
k) Slings in which the spirals are locked or without free articulation shall not be used
f) ittings that are pitted, corroded, cracked, bent, twisted, gouged, or broken
g) Other conditions, including visible damage, that cause doubt as to the continued use of the sling",https://www.notion.so/Wire-Mesh-Sling-Inspection-For-Safe-Usage-9615c395bdc54194a7e265b45b170972,9615c395bdc54194a7e265b45b170972,,,,https://www.notion.so/wire-mesh-sling-f8ddec4643a9403f93c5209d6874a4ed,f8ddec4643a9403f93c5209d6874a4ed,,f4fbb7f1912a4205a5950164bdaa2bf8,ASME B30.9-2018,,Annually,Contractor,https://webstore.ansi.org/Standards/ASME/ASMEB302018,"#CannotAccess
-All points here mentions different component.","ASME B30.9-2018, Section: 9-3.9.5",
", Section: ",,,,"Wire Rope sling should be removed from service and be discarded if the following conditions are found:
1. Missing or illegible sling identification. If the tag is missing or illegible, the inspector should remove the sling from service and send it to the manufacturer for current or updated certification, tagging, and testing.
2. Broken Wires: For strand-laid grommets and single-part slings, ten randomly distributed broken wires in one rope lay, or five broken wires in one strand in one rope lay. For cable laid, cable laid grommets and multi-part slings, use the following:
How to Inspect Wire Rope Slings According to ASME B30.9 Standards: Broken Wires Chart
3. Distortion: Kinking, crushing, birdcaging or other damage which distorts the rope structure. The main thing to look for is wires or strands that are pushed out of their original positions in the rope.
4. Heat Damage: Any metallic discoloration, fusing of wires or loss of internal lubricant caused by exposure to heat.
5. Damaged End Attachments: Cracked, bent or broken end fittings caused by abuse, wear or damage.
6. Bent Hooks: No more than 5 percent over the normal throat openings, measured at the narrowest point from the plane of the unbent hook (see ASME B30.10 Hooks).
7. Corrosion: Severe corrosion of the rope or end attachments which has caused pitting or binding of wires should be cause for replacing the sling. Light surface rust does not substantially affect strength of a sling.
8. Pulled Eye Splices: Any evidence that eye splices have slipped, tucked strands have moved or pressed sleeves show serious damage may be sufficient cause to reject a sling.
9. Unbalance: A very common cause of damage is the kink which results from pulling through a loop while using a sling, thus causing wires and strands to be deformed and pushed out of their original position. This unbalances the sling, reducing its strength.
10. Kinks: Are tightened loops with permanent strand distortion that result from improper handling when a rope is being installed or while in service. A kink happens when a loop is permitted to form and then is pulled down tight, causing permanent distortion of the strands. The damage is irreparable and the sling must be taken out of service.
11. Doglegs: Are permanent bends caused by improper use or handling. If the dogleg is severe, the sling must be removed from service. If the dogleg is minor, (exhibiting no strand distortion) and cannot be observed when the sling is under tension, the area of the minor dogleg should be marked for observation and the sling can remain in service.",https://www.notion.so/Wire-Rope-Sling-Inspection-For-Safe-Usage-c0a06449171644d7922bd2415022de12,c0a06449171644d7922bd2415022de12,,,,https://www.notion.so/wire-rope-sling-77c5233ab77743378ce0b629bfb2ea27,77c5233ab77743378ce0b629bfb2ea27,,ed4c1d5af3bf423b92c3935fd9e38323,,,Annually,Contractor,,"Requirement text not found + requirement from which source(s)?
-All points here mentions different component.
#SourceUnknown",", Section: ",
"OSHA 1910.184, Section: 1910.184(f)(5)
",,,"1910.184(f)(5)
","1910.184(f)(5)
Removal from service. Wire rope slings shall be immediately removed from service if any of the following conditions are present:
1910.184(f)(5)(i)
Ten randomly distributed broken wires in one rope lay, or five broken wires in one strand in one rope lay.
1910.184(f)(5)(ii)
Wear or scraping of one-third the original diameter of outside individual wires.
1910.184(f)(5)(iii)
Kinking, crushing, bird caging or any other damage resulting in distortion of the wire rope structure.
1910.184(f)(5)(iv)
Evidence of heat damage.
1910.184(f)(5)(v)
End attachments that are cracked, deformed or worn.
1910.184(f)(5)(vi)
Hooks that have been opened more than 15 percent of the normal throat opening measured at the narrowest point or twisted more than 10 degrees from the plane of the unbent hook.
1910.184(f)(5)(vii)
Corrosion of the rope or end attachments.

",https://www.notion.so/Wire-Rope-Sling-Inspection-For-Safe-Usage-4194969a55204b3e8265922d01d24214,4194969a55204b3e8265922d01d24214,,,,https://www.notion.so/wire-rope-sling-77c5233ab77743378ce0b629bfb2ea27,77c5233ab77743378ce0b629bfb2ea27,No,1557585308f3439897ab388e2facddab,OSHA 1910.184,,"Annually
#freqIn{OSHA 1910.184(e)(3)(i)}","Assignment Uncertain, Assignment Verifed, Contractor, See Note",https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.184,SC: I could not find a Canadian comparable requirement/regulation so I used OSHA. This should be inspection prior to every use and inspected annually to ensure it is still in good working condition.,"OSHA 1910.184, Section: 1910.184(f)(5)
",
"OSHA 1910.184, Section: 1910.184(e)(3)(i)I
-",,,"https://www.osha.gov/laws-regs/interlinking/standards/1910.184(e)(3)(i)I
-","https://www.osha.gov/laws-regs/interlinking/standards/1910.184(e)(3)(i)In addition to the inspection required by paragraph (d) of this section, a thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of 
(A) frequency of sling use; 
(B) severity of service conditions; 
(C) nature of lifts being made; and 
(D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.
1910.184(e)(3)(ii)The employer shall make and maintain a record of the most recent month in which each alloy steel chain sling was thoroughly inspected, and shall make such record available for examination.",https://www.notion.so/Wire-Rope-Sling-Inspection-Frequency-Verification-ed7074eef32440b79035f8d429f34b2a,ed7074eef32440b79035f8d429f34b2a,,,,https://www.notion.so/wire-rope-sling-77c5233ab77743378ce0b629bfb2ea27,77c5233ab77743378ce0b629bfb2ea27,No,e0e3d7703893420ebaee5704dbf49d3b,OSHA 1910.184,,Annually,"Assignment Uncertain, Assignment Verifed, Contractor, See Note",https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.184,SC: I could not find a Canadian comparable requirement/regulation so I used OSHA. This should be inspection prior to every use and inspected annually to ensure it is still in good working condition.,"OSHA 1910.184, Section: 1910.184(e)(3)(i)I
-",
"TSSA, 2000 - CAD-277-19, 8.6.1.4.1",https://www.notion.so/TSSA-2000-CAD-277-19-cf753607aed44d0c880d6a5bfd7c1185,cf753607aed44d0c880d6a5bfd7c1185,8.6.1.4.1,"8.6.1.4.1 On-Site Maintenance Records
8.6.1.4.1(a) Maintenance Control Program Records
(1) A record that shall include the maintenance tasks listed with the associated requirements of 8.6 identified in the Maintenance Control Program (8.6.1.2.1), other tests (see 8.6.1.2.2), examinations and adjustments, and the specified scheduled intervals shall be maintained.
(2) The specified scheduled maintenance intervals (see 1.3) shall, as applicable, be based on the criteria given in 8.6.1.2.1(e).
(3) MCP records shall be viewable on-site by elevator personnel in either hard copy or electronic format acceptable to the authority having jurisdiction and shall include but not limited to the following:
    (a) site name and address,
    (b) service provider (Contractor) name,
    (c) conveyance identification (ID) (TSSA or MCCR installation number) and type,
    (d) date of record,
    (e) a description of the maintenance task, interval, and associated requirements of 8.6,
    (f) indication of completion of maintenance task,
    (g) year and month when the task was performed,
    (h) Contractor’s Registration Number, and (i) the printed name, signature and mechanic certification number of the person(s) who completed the task, except that where tasks are not yet completed, or where a part directly affecting the safety of the operation is found to be defective, the record of the maintenance task shall not be signed off until the task is complete, or the defect is adjusted repaired or replaced. (242/10)
Note [8.6.1.4.1(a)]: A specific maintenance control program that includes all maintenance needs is required for each unit.
8.6.1.4.1 (b) Repair and Replacement Records
The repairs and replacements listed in paragraphs (1) and (2) below shall be recorded and shall be kept on-site for viewing by elevator personnel in either hard copy or electronic format. Instructions for locating the records of each unit for immediate viewing shall be posted on the controller or at the means necessary for test (see 2.7.6.4). The provided instructions shall be permanently legible with characters a minimum of 3 mm (0.125 in.) in height. The record shall include an explanation of the repair or replacement, date, and name of person(s) and/or firm performing the task. The record of repairs and replacements shall be retained by the owner of the equipment for the most recent 5 years or from the date of installation or adoption of this code edition, whichever is less, or as specified by the authority having jurisdiction and shall be a permanent record for the installation. These records may be kept remotely from the site.
(1) Repairs (8.6.2.1- 8.6.2.5) including repairs of components and devices listed in 8.6.4, 8.6.5, 8.6.6, 8.6.7, 8.6.8, 8.6.9, and 8.6.10.
(2) Replacements (8.6.3.1 - 8.6.3.11 except 8.6.3.7 and 8.6.3.10) including replacements of components and devices listed in 8.6.4, 8.6.5, 8.6.6, 8.6.7, 8.6.8, 8.6.9, and 8.6.10.
8.6.1.4.1 (c) Other Records
The written records listed in paragraphs (1) to (4) below shall be kept on-site for each unit. Instructions for locating the records of each unit for immediate viewing shall be posted on the controller or at the means necessary for test (see 2.7.6.4). The provided instructions shall be permanently legible with characters a minimum of 3 mm (0.125 in.) in height. These records shall be retained for the most recent 5 years from of the date of installation or adoption of this code edition, whichever is less, or as specified by the authority having jurisdiction. The record shall include the date and name of person(s) and/or firm performing the task.
(1) A record of oil usage (8.6.5.7).
(2) A record of findings for firefighter’s service operation required by 8.6.11.1 with identification of the person(s) that performed the operation.
(3) Periodic tests (see 8.6.1.7) shall be documented or recorded in accordance with 8.6.1.7.2.
(4) Written record to document compliance with replacement criteria specified in ASME A17.6 requirement 1.10.1.1(c).
8.6.1.4.1 (d) Acceptance Tests A permanent record of the results of all Acceptance tests as required by 8.10.1.1.4 and 8.10.1.1.5 shall be kept with the on-site records.
8.6.1.4.2 Call Backs (Trouble Calls)
A record of call backs shall be maintained and shall include the description of reported trouble, dates, time and corrective action(s) taken that are reported by any means to elevator personnel. These records shall be made available to elevator personnel when performing corrective action. For elevator personnel other than personnel performing the corrective action, records will be available upon request and shall be maintained for a minimum of one year. Instructions on how to report any need for corrective action (trouble calls) to the responsible party shall be posted on the controller or at the means necessary for test (see 2.7.6.4). The instructions shall be permanently legible with characters a minimum of 3mm (0.125 in.) in height.",https://www.notion.so/Elevator-Logbook-6279c061bd2f410c9cff3f2556e220b2,6279c061bd2f410c9cff3f2556e220b2,https://www.notion.so/CSA-B44-16-Section-8-6-1-4-1-86a3b3f803c24f45a971b637f950688f,,,,,,e572d4a30148405d8e2ffeed63041bab,,,after each maintenance event,,,,", Section: 8.6.1.4.1",
"TSSA, 2000 - CAD-277-19",https://www.notion.so/TSSA-2000-CAD-277-19-cf753607aed44d0c880d6a5bfd7c1185,cf753607aed44d0c880d6a5bfd7c1185,8.6.1.7,"8.6.1.7 Periodic Tests
The frequency of maintenance and tests shall conform to the following;
(a) Where a Maintenance Control Program is in effect,
(1) the maintenance frequency shall be established as prescribed in 8.6, but in no case shall the interval between maintenance visits to an elevating device, excluding wind tower elevators, exceed three months, nor shall it exceed the manufacturer’s specified limit or other imposed limit which is less than three months (see CAD 2.9 for example of a one-month limit),",https://www.notion.so/Elevator-Establish-frequency-d57dd0cabff54ef89ae132ac570419cf,d57dd0cabff54ef89ae132ac570419cf,https://www.notion.so/CSA-B44-16-Section-8-6-1-7-2ef1b621bcbf47d6a7eb1f8108c462d8,,,,,,15ba7603efac48179bbbc4fc8abf4b48,,,3 months,,,,", Section: 8.6.1.7",
"CSA B44-16, Section: 8.6.4.19",,,8.6.4.19,,https://www.notion.so/Elevator-Establish-frequency-d57dd0cabff54ef89ae132ac570419cf,d57dd0cabff54ef89ae132ac570419cf,,,,,,,75f9e49aefa94a88b6be09f0f0bf3e2b,,,,,,,", Section: 8.6.4.19",
"CSA B44-16, Section: 8.6.4.20",,,8.6.4.20,,https://www.notion.so/Elevator-Establish-frequency-d57dd0cabff54ef89ae132ac570419cf,d57dd0cabff54ef89ae132ac570419cf,,,,,,,0b7765ea2e2143aab3ba81f8e22bd616,,,,,,,", Section: 8.6.4.20",
"CSA B44-16, Section: 8.11.1.3",,,8.11.1.3,,https://www.notion.so/Elevator-Establish-frequency-d57dd0cabff54ef89ae132ac570419cf,d57dd0cabff54ef89ae132ac570419cf,,,,,,,e7b7837b76234515a1e6ad4b0140a694,,,,,,,", Section: 8.11.1.3",
